task_type,evaluation,model,n_samples,n_folds,roc_auc,avg_precision,f1,positive_rate,task,mae,mae_rounded
binary,group_property_cv,majority_baseline,3705,5,0.5,0.15938664108048323,0.0,0.15938664108048323,cleanliness,,
binary,group_property_cv,text_plus_property,3705,5,0.8659341920480719,0.5097960189257398,0.5074911239570039,0.15938664108048323,cleanliness,,
binary,group_property_cv,text_tfidf,3705,5,0.8697739475787699,0.5173318519818729,0.5234011086952263,0.15938664108048323,cleanliness,,
binary,random_cv,majority_baseline,3705,5,0.5,0.16437246963562752,0.0,0.16437246963562752,cleanliness,,
binary,random_cv,text_plus_property,3705,5,0.8841008313900088,0.6529613937969045,0.5984638240610229,0.16437246963562752,cleanliness,,
binary,random_cv,text_tfidf,3705,5,0.8870319869290715,0.633513775726151,0.6016295270961631,0.16437246963562752,cleanliness,,
binary,temporal_holdout_2025+,majority_baseline,3705,1,0.5,0.13733905579399142,0.0,0.13733905579399142,cleanliness,,
binary,temporal_holdout_2025+,text_plus_property,3705,1,0.9074505942509674,0.6936466109991174,0.5953488372093023,0.13733905579399142,cleanliness,,
binary,temporal_holdout_2025+,text_tfidf,3705,1,0.9162693477059148,0.7143216640437939,0.6727272727272727,0.13733905579399142,cleanliness,,
binary,group_property_cv,majority_baseline,1564,5,0.5,0.23462495881727435,0.0,0.23462495881727435,ecofriendliness,,
binary,group_property_cv,text_plus_property,1564,5,0.7866899613944149,0.5410023538644448,0.5407197359807374,0.23462495881727435,ecofriendliness,,
binary,group_property_cv,text_tfidf,1564,5,0.7903466148410383,0.5457519069543135,0.5455313253540574,0.23462495881727435,ecofriendliness,,
binary,random_cv,majority_baseline,1564,5,0.5,0.2346542967149996,0.0,0.2346542967149996,ecofriendliness,,
binary,random_cv,text_plus_property,1564,5,0.8221678705701747,0.6292166955989923,0.5989782460888118,0.2346542967149996,ecofriendliness,,
binary,random_cv,text_tfidf,1564,5,0.8173068848925731,0.6165299162324814,0.5870690654647245,0.2346542967149996,ecofriendliness,,
binary,temporal_holdout_2025+,majority_baseline,1564,1,0.5,0.1965065502183406,0.0,0.1965065502183406,ecofriendliness,,
binary,temporal_holdout_2025+,text_plus_property,1564,1,0.7714221014492755,0.5396901210323236,0.4666666666666667,0.1965065502183406,ecofriendliness,,
binary,temporal_holdout_2025+,text_tfidf,1564,1,0.808816425120773,0.6139663658730438,0.5780346820809249,0.1965065502183406,ecofriendliness,,
binary,group_property_cv,majority_baseline,3855,5,0.5,0.22197950373558412,0.0,0.22197950373558412,overall,,
binary,group_property_cv,text_plus_property,3855,5,0.9020664376339568,0.7098232058453819,0.6755607968849745,0.22197950373558412,overall,,
binary,group_property_cv,text_tfidf,3855,5,0.9036745697459073,0.7157215970047657,0.6699009499805029,0.22197950373558412,overall,,
binary,random_cv,majority_baseline,3855,5,0.5,0.22879377431906614,0.0,0.22879377431906614,overall,,
binary,random_cv,text_plus_property,3855,5,0.9139608994884834,0.7689818957869737,0.715704807978241,0.22879377431906614,overall,,
binary,random_cv,text_tfidf,3855,5,0.9194074418559296,0.7802700433509179,0.7230380924504031,0.22879377431906614,overall,,
binary,temporal_holdout_2025+,majority_baseline,3855,1,0.5,0.1742627345844504,0.0,0.1742627345844504,overall,,
binary,temporal_holdout_2025+,text_plus_property,3855,1,0.9273039460539462,0.7720508420307254,0.7123287671232876,0.1742627345844504,overall,,
binary,temporal_holdout_2025+,text_tfidf,3855,1,0.936451048951049,0.7860924654047314,0.7430555555555556,0.1742627345844504,overall,,
binary,group_property_cv,majority_baseline,3564,5,0.5,0.15992954263906342,0.0,0.15992954263906342,service,,
binary,group_property_cv,text_plus_property,3564,5,0.8724759204088173,0.5828893045576636,0.5696896921156596,0.15992954263906342,service,,
binary,group_property_cv,text_tfidf,3564,5,0.8741811762776595,0.5862815834849671,0.5580428830927581,0.15992954263906342,service,,
